date,price,ma20,margin_amount_100m,margin_pct,zone,hot,low_or_depressed,below_ma20_3w,above_ma20,reentry_armed,position,shares,cash,equity,event
2019-04-21,132.21767580622605,121.24857350452598,1306.74861,0.2403846153846154,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3943839.7993796323,
2019-04-28,131.6587846645331,121.88790635442808,1323.16669,0.25961538461538464,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3927168.9789716275,
2019-05-05,133.73466604796417,122.73170673667207,1323.80355,0.2692307692307692,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3989089.169058505,
2019-05-12,130.141794422795,123.40360765020917,1276.89677,0.16346153846153846,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3881919.6092927544,
2019-05-19,124.95209096421728,123.85474395357517,1253.6416,0.125,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3727119.1340755587,
2019-05-26,123.5149423141496,124.18368609285264,1246.07938,0.10576923076923077,depressed,False,True,False,False,False,HOLD,29828.38546609756,0.0,3684251.310169258,
2019-06-02,125.27145733089898,124.85600969716918,1241.68776,0.07692307692307693,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3736645.317165848,
2019-06-09,124.07383345584259,125.21289639353131,1246.29559,0.125,depressed,False,True,False,False,False,HOLD,29828.38546609756,0.0,3700922.1305772644,
2019-06-16,125.99003165593282,125.6307444934159,1239.51396,0.07692307692307693,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3758079.229118998,
2019-06-23,129.10385373107943,126.09781780468788,1221.65289,0.057692307692307696,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3850959.5142493146,
2019-06-30,129.18369532274988,126.62078023012918,1228.3455,0.0673076923076923,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3853341.060021888,
2019-07-07,130.7805271561584,127.16769513307159,1244.89784,0.125,depressed,False,True,False,True,False,HOLD,29828.38546609756,0.0,3900971.975473332,
2019-07-14,132.13783421455565,127.63077636476007,1256.00635,0.21153846153846154,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3941458.2536070608,
2019-07-21,133.66845594755455,128.1144995689292,1271.19539,0.25,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3987114.228661738,
2019-07-28,134.0710717787219,128.75009219091288,1299.17618,0.34615384615384615,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3999123.6088685505,
